PLAYER,POS,FPTS,C,F,STD,VOR,VALUERANK,AVG,ADPRANK,SLEEPERSCORE,ECR,CI,IJ%,PGM,IPG%,D
Devine Ozigbo,RB,2.820935,3.62,2.0,0.572365596253828,-90.528945,413.0,,,,,,,,,
Jakob Johnson,RB,2.6468499999999993,3.4,1.9,0.5335987045524004,-90.70303,414.0,,,,,,,,,
Jonathan Williams,RB,2.298860000000001,2.5,2.1,0.14111945436402448,-91.05102,415.0,353.0,400.0,-15.0,,,,,,
Jamal Agnew,WR,24.835295000000002,26.6,23.05,1.2595827733718021,-91.608365,416.0,,,,288.0,,,,,
Simi Fehoko,WR,24.559160000000002,36.0,13.1,8.05090007976748,-91.8845,417.0,427.0,463.0,46.0,,,,,,
Miles Boykin,WR,24.295444500000002,27.6,21.01,2.3277993620412714,-92.1482155,418.0,,,,,1,5%,0.20,0.3%,5
Nathan Cottrell,RB,1.09464,1.9,0.3,0.565942815485805,-92.25524,419.0,,,,,,,,,
Cedrick Wilson,WR,24.11109,25.74,22.5,1.142610875101405,-92.33257,420.0,,,,,2,63%,1.30,5.7%,1
Cullen Gillaspia,RB,0.8493199999999999,1.7,0.0,0.5981484243897998,-92.50056,421.0,,,,,,,,,
Taiwan Jones,RB,0.647205,1.3,0.0,0.45846039957121715,-92.702675,422.0,,,,,,,,,
Javon Wims,WR,23.427210500000005,34.0,13.07,7.452916366509808,-93.01644950000001,423.0,,,,,,,,,
Cam Sims,WR,22.580272499999996,23.5,21.65,0.6526774764336138,-93.86338750000002,424.0,375.0,416.0,-8.0,,,,,,
Tyler Johnson,WR,21.877519000000003,25.92,17.9,2.8327588839573,-94.566141,425.0,385.0,424.0,-1.0,254.8,1,5%,0.80,0.3%,5
Andy Isabella,WR,20.77694,26.9,14.66,4.361545643049032,-95.66672000000001,426.0,416.0,452.0,26.0,,1,6%,0.30,0.4%,5
Ihmir Smith-Marsette,WR,19.679709000000003,34.2,4.99,10.239827453395835,-96.763951,429.0,,,,,,,,,
John Ross,WR,18.729276499999997,29.59,7.7,7.747333883281898,-97.71438350000001,430.0,,,,,8,91%,3.60,13.2%,0
Noah Brown,WR,18.662552,19.82,17.5,0.8212236037133858,-97.781108,431.0,,,,,,,,,
Zay Jones,WR,18.494120000000002,26.333333333333332,10.733333333333334,6.343120234907177,-97.94954000000001,432.0,417.0,453.0,21.0,275.3,5,34%,0.60,2.4%,5
Ray-Ray McCloud,WR,17.77710533333333,25.386666666666667,10.066666666666666,5.43547521328524,-98.66655466666668,433.0,,,,,,,,,
Chris Moore,WR,17.48836,26.8,8.0,6.642226773484929,-98.95530000000001,434.0,,,,,,,,,
Frank Darby,WR,16.842969999999998,20.1,13.66,2.2754438202469425,-99.60069000000001,435.0,,,,,,,,,
Shi Smith,WR,16.215097,18.91,13.51,1.9678356767248124,-100.22856300000001,436.0,376.0,417.0,-19.0,,,,,,
Cameron Batson,WR,15.988288000000006,16.67,15.3,0.4849378919573107,-100.455372,437.0,,,,,,,,,
KJ Osborn,WR,15.79928,23.0,8.52,5.157087717074434,-100.64438000000001,438.0,,,,277.2,,,,,
Phillip Dorsett,WR,15.386232000000001,21.16,9.693333333333333,4.237433318250618,-101.057428,439.0,,,,,7,34%,0.90,2.4%,3
Anthony Schwartz,WR,14.593041333333334,17.206666666666667,12.0,1.9458208514267472,-101.85061866666668,440.0,381.0,422.0,-18.0,281.2,,,,,
Tylan Wallace,WR,14.438146666666668,23.8,4.866666666666666,7.074473168342643,-102.00551333333334,441.0,362.0,407.0,-34.0,,2,79%,3.00,8.8%,0
Jaelon Darden,WR,14.350660499999998,18.3,10.41,2.797054492897797,-102.0929995,442.0,,,,,,,,,
Alex Erickson,WR,14.123224999999998,21.6,6.85,5.205567149636532,-102.320435,443.0,,,,,,,,,
Trent Sherfield,WR,13.945289,24.3,3.71,7.3070307096302125,-102.498371,444.0,438.0,473.0,29.0,,,,,,
Diontae Spencer,WR,13.435856000000003,13.97,12.9,0.37663294766124766,-103.00780400000001,445.0,,,,,,,,,
Nick Westbrook-Ikhine,WR,13.043984499999999,18.1,7.93,3.6323686233998544,-103.39967550000001,446.0,,,,,,,,,
Braxton Berrios,WR,12.755322666666668,19.46666666666667,5.913333333333334,5.065335392898765,-103.68833733333334,447.0,,,,239.9,,,,,
Steven Sims,WR,11.777338999999998,16.0,7.59,2.970951862464116,-104.66632100000001,448.0,,,,,,,,,
Tavon Austin,WR,11.307920000000001,14.9,7.7,2.5440442750864225,-105.13574000000001,449.0,,,,,,,,,
Penny Hart,WR,11.198103000000001,12.3,10.08,0.7882146734177183,-105.245557,450.0,,,,,,,,,
KhaDarel Hodge,WR,10.80616,19.5,2.06,6.1560420900445445,-105.6375,455.0,,,,,,,,,
Lil'Jordan Humphrey,WR,9.752687333333336,12.733333333333334,6.813333333333333,2.0972598663800452,-106.69097266666667,456.0,,,,,,,,,
Malik Turner,WR,9.559180000000001,17.2,1.9,5.414765759254966,-106.88448000000001,457.0,,,,,,,,,
JJ Arcega-Whiteside,WR,9.4542915,10.0,8.91,0.3835570107920724,-106.98936850000001,458.0,,,,,6,63%,1.50,5.7%,5
Tajae Sharpe,WR,8.968279999999998,11.3,6.71,1.6184941401191422,-107.47538000000002,459.0,,,,,,,,,
Gunner Olszewski,WR,8.9462715,11.6,6.31,1.8659703791292481,-107.49738850000001,460.0,,,,,,,,,
Trent Taylor,WR,8.333938500000002,9.3,7.37,0.6788682683096554,-108.1097215,461.0,,,,,,,,,
James Proche,WR,8.272425333333333,12.866666666666667,3.653333333333333,3.275718099725514,-108.17123466666668,462.0,,,,,,,,,
Antoine Wesley,WR,7.79225,10.9,4.7,2.1878484722439073,-108.65141000000001,463.0,,,,,,,,,
Cyril Grayson,WR,7.169795,12.5,1.8,3.805224160016727,-109.27386500000001,464.0,,,,,,,,,
John Ursua,WR,7.163372,9.2,5.13,1.4435587170655717,-109.28028800000001,465.0,,,,,,,,,
Gehrig Dieter,WR,6.9917405,12.17,1.8,3.6879105185944727,-109.4519195,466.0,,,,,,,,,
Brandon Zylstra,WR,6.800671999999999,9.8,3.83,2.108553291576004,-109.642988,467.0,,,,,,,,,
Jake Kumerow,WR,6.763099999999999,11.3,2.3,3.1836752959433543,-109.68056000000001,468.0,,,,,,,,,
DeAndre Carter,WR,6.602879999999999,10.2,3.0,2.5527004731460368,-109.84078000000001,469.0,,,,,,,,,
Laquon Treadwell,WR,5.545764999999999,9.4,1.7,2.7177258534986564,-110.897895,470.0,,,,273.8,,,,,
Dante Pettis,WR,5.244742499999999,8.95,1.5,2.624663415791394,-111.19891750000001,471.0,,,,,4,92%,2.90,13.8%,4
Equanimeous St Brown,WR,5.187225499999999,6.29,4.1,0.7772568781617505,-111.25643450000001,472.0,,,,,6,90%,2.50,12.7%,1
Jason Moore,WR,5.17178,8.6,1.8,2.412877044443003,-111.27188000000001,473.0,,,,,,,,,
Joe Reed,WR,5.0140649999999996,7.72,2.3,1.9110741497322914,-111.429595,474.0,,,,,,,,,
Kelvin Harmon,WR,4.944391,7.99,1.9,2.1509858447044694,-111.49926900000001,475.0,,,,,0,5%,0.20,0.3%,5
Ashton Dulin,WR,4.859609999999999,6.4,3.3,1.0964117145944767,-111.58405,476.0,,,,,,,,,
Malik Taylor,WR,4.831519999999999,7.7,1.94,2.028681485497416,-111.61214000000001,477.0,,,,,,,,,
Stanley Morgan,WR,4.392739999999999,5.5,3.3,0.7784056091781457,-112.05092,478.0,,,,,,,,,
Jauan Jennings,WR,4.351979999999999,4.8,3.9,0.31691651834513135,-112.09168000000001,479.0,,,,,,,,,
Nsimba Webster,WR,4.342712000000001,6.6,2.08,1.59901757496783,-112.100948,480.0,,,,,,,,,
Mack Hollins,WR,3.9965,5.0,3.0,0.7012044994151135,-112.44716000000001,481.0,,,,,,,,,
Dax Milne,WR,3.59292,4.8,2.4,0.851970582590737,-112.85074,482.0,,,,,,,,,
John Hightower,WR,3.2958000000000007,4.86,1.7,1.1159990860211313,-113.14786000000001,483.0,,,,,,,,,
Andy Dalton,QB,75.0680225,75.53,74.6,0.3302016535297054,-133.55451750000003,484.0,238.0,250.0,-234.0,,6,21%,0.70,1.4%,5
Drew Lock,QB,68.03343866666667,118.61333333333334,17.5,37.629249380826884,-140.58910133333336,485.0,296.0,358.0,-127.0,329.5,5,34%,0.80,2.4%,1
Jimmy Garoppolo,QB,67.84939633333333,97.12333333333333,39.19,22.061204079082355,-140.77314366666673,486.0,262.3,296.0,-190.0,186.2,8,21%,0.50,1.4%,3
Davis Mills,QB,43.372422666666665,60.28,26.26666666666667,12.488151383416628,-165.25011733333338,487.0,439.0,474.0,-13.0,265.5,2,10%,0.90,0.6%,5
Jacob Eason,QB,39.508559000000005,59.79,19.3,14.260828042526809,-169.11398100000002,488.0,395.0,433.0,-55.0,,,,,,
PJ Walker,QB,20.18559,27.27,12.9,5.088704919417119,-188.43695000000005,489.0,,,,,,,,,
Marcus Mariota,QB,18.055090000000003,23.09,13.0,3.5787368123263827,-190.56745000000004,490.0,359.0,405.0,-85.0,338.3,11,46%,1.00,3.6%,4
Taylor Heinicke,QB,16.578945,22.400000000000002,10.766666666666666,4.202609856225256,-192.04359500000004,491.0,437.0,472.0,-19.0,,5,16%,0.60,1%,2
Kellen Mond,QB,15.631130999999996,16.5,14.76,0.6162267852333263,-192.99140900000003,492.0,,,,,,,,,
Mitchell Trubisky,QB,14.981777500000002,18.85,11.2,2.68887518360257,-193.64076250000005,493.0,378.0,419.0,-74.0,315.0,,,,,
Trace McSorley,QB,14.719501999999999,20.28,9.2,3.9169261764802266,-193.90303800000004,494.0,292.0,354.0,-140.0,,,,,,
Jordan Love,QB,13.5646415,18.29,9.0,3.3015485986091053,-195.05789850000005,495.0,388.0,427.0,-68.0,332.0,,,,,
Joe Flacco,QB,13.49996,20.5,6.6,4.918067506490735,-195.12258000000006,496.0,448.0,483.0,-13.0,,7,70%,2.50,6.8%,5
John Wolford,QB,13.487079999999999,17.74,9.2,3.0247276726343477,-195.13546000000005,497.0,443.0,478.0,-19.0,,,,,,
Jacoby Brissett,QB,12.901358666666667,21.540000000000003,4.333333333333333,6.090047711418871,-195.7211813333334,498.0,449.0,484.0,-14.0,,,,,,
Tim Boyle,QB,12.403596,13.659999999999998,11.133333333333333,0.9801343682858542,-196.21894400000005,499.0,,,,,,,,,
Mason Rudolph,QB,12.176498666666667,17.113333333333333,7.233333333333333,3.752089565176894,-196.44604133333337,500.0,,,,,5,62%,2.20,5.5%,5
Gardner Minshew,QB,11.851047999999997,19.726666666666667,4.033333333333333,5.547451379940803,-196.77149200000005,501.0,,,,294.8,,,,,
Brandon Allen,QB,11.496917000000002,14.69,8.3,2.244245053489257,-197.12562300000005,502.0,,,,,,,,,
Mike Glennon,QB,11.449245000000003,14.86,8.066666666666666,2.61338434005867,-197.17329500000005,503.0,444.0,479.0,-24.0,,3,5%,0.20,0.3%,5
Nick Foles,QB,9.359580000000001,18.8,0.0,6.65531623768548,-199.26296000000005,504.0,,,,,,,,,
Chase Daniel,QB,9.101329999999999,10.66,7.5,1.1097380011065676,-199.52121000000005,505.0,,,,,,,,,
Geno Smith,QB,8.564302,9.34,7.8,0.5473748192929594,-200.05823800000005,506.0,,,,,,,,,
Cooper Rush,QB,8.499099999999999,8.8,8.2,0.21225736736330314,-200.12344000000004,507.0,,,,,,,,,
Chad Henne,QB,8.441537333333333,13.926666666666668,2.9,3.955034314353964,-200.1810026666667,508.0,441.0,476.0,-32.0,,,,,,
Blaine Gabbert,QB,7.887400000000001,12.5,3.3000000000000003,3.3462317971114914,-200.73514000000003,509.0,,,,,,,,,
Colt McCoy,QB,7.7320633333333335,13.026666666666666,2.4,3.7292138761093687,-200.8904766666667,510.0,,,,,,,,,
Case Keenum,QB,6.7267339999999995,8.08,5.4,0.9554509999178398,-201.89580600000005,511.0,,,,,,,,,
Ian Book,QB,5.094729999999999,8.2,2.0,2.171985549468504,-203.52781000000004,512.0,,,,,,,,,
Kyle Allen,QB,4.213139999999999,8.6,0.0,3.046002846420206,-204.40940000000003,513.0,,,,,,,,,
Justin Tucker,K,68.62773,134.4,3.0,46.64694401616359,,,127.8,127.0,,171.0,,,,,
Greg Zuerlein,K,68.72813000000001,128.6,8.0,42.418364486423805,,,177.6,175.0,,180.8,,,,,
Tyler Bass,K,68.13395999999999,127.6,9.0,42.02325200074834,,,155.0,152.0,,193.1,,,,,
Ryan Succop,K,70.45952,127.1,14.0,39.66560025222863,,,165.8,162.0,,210.6,,,,,
Younghoe Koo,K,68.70133500000001,126.9,10.0,41.37506644668713,,,143.2,141.0,,186.4,,,,,
Jason Myers,K,65.57382,125.1,6.0,42.368468677869394,,,193.4,191.0,,241.2,,,,,
Jason Sanders,K,65.0556,122.8,8.0,40.415633072364464,,,163.4,158.0,,211.6,,,,,
Daniel Carlson,K,64.117935,122.1,5.0,41.14386071561315,,,183.6,179.0,,234.2,,,,,
Mason Crosby,K,63.39633999999999,121.3,6.0,40.42003609108235,,,195.0,193.0,,254.3,,,,,
Matt Gay,K,66.78624,120.8,12.0,38.48389921333855,,,209.0,211.0,,218.2,,,,,
Robbie Gould,K,62.493990000000004,119.2,5.0,40.60337558479468,,,227.8,236.0,,234.3,,,,,
Tampa Bay Buccaneers,DST,69.22024000000002,119.2,19.0,34.98380222820842,,,105.4,100.0,,140.4,,,,,
Matt Prater,K,60.7663,118.0,4.0,40.39700588298594,,,207.2,207.0,,220.7,,,,,
Brandon McManus,K,63.14961500000001,116.9,9.0,38.2659675377714,,,195.5,195.0,,258.7,,,,,
Cairo Santos,K,59.862230000000004,115.9,5.0,39.07898064723669,,,249.5,274.0,,291.4,,,,,
Pittsburgh Steelers,DST,58.8134,115.4,2.0,39.907939641630215,,,111.2,109.0,,278.6,,,,,
Graham Gano,K,60.837,114.0,6.0,38.15549018162393,,,229.5,239.0,,284.0,,,,,
Chris Boswell,K,58.37068000000001,113.2,4.0,38.74609126528249,,,239.5,254.0,,252.3,,,,,
Washington Commanders,DST,57.079604999999994,111.3,3.0,38.44643555381922,,,120.0,117.0,,306.1,,,,,
Evan McPherson,K,61.34048000000001,111.2,11.0,35.460642681282586,,,248.8,271.0,,281.7,,,,,
Dustin Hopkins,K,61.15979,110.9,11.0,35.17779453228841,,,286.3,344.0,,265.7,,,,,
Indianapolis Colts,DST,58.634719999999994,110.6,6.0,37.11307056175223,,,151.8,149.0,,150.1,,,,,
New Orleans Saints,DST,59.98695,108.1,11.0,34.07224333966726,,,189.2,186.0,,168.7,,,,,
Green Bay Packers,DST,61.64973500000001,107.9,15.0,33.04425413259883,,,207.4,208.0,,212.3,,,,,
Arizona Cardinals,DST,55.40113999999999,107.6,4.0,36.629622366336235,,,227.0,234.0,,225.1,,,,,
Philadelphia Eagles,DST,65.82493000000001,107.3,24.0,29.538700326776397,,,289.0,347.0,,233.2,,,,,
Baltimore Ravens,DST,55.818629999999985,106.8,3.0,36.66898299548407,,,123.8,123.0,,288.9,,,,,
Seattle Seahawks,DST,56.969305000000006,106.7,6.0,35.56537784231984,,,222.6,229.0,,263.6,,,,,
New England Patriots,DST,53.13186000000001,106.2,0.0,37.6223763861402,,,158.8,155.0,,190.7,,,,,
Buffalo Bills,DST,57.030514999999994,106.1,9.0,34.38442175731293,,,139.0,137.0,,157.1,,,,,
Kansas City Chiefs,DST,59.0632,105.0,14.0,32.176827931913984,,,186.4,181.0,,164.7,,,,,
Carolina Panthers,DST,53.01975,105.0,0.0,37.36001184338008,,,245.8,264.0,,238.7,,,,,
Cleveland Browns,DST,53.706125,104.5,2.0,36.38464107606911,,,174.4,168.0,,204.4,,,,,
Miami Dolphins,DST,68.53275,104.5,32.0,25.56432553261478,,,191.6,189.0,,181.8,,,,,
San Francisco 49ers,DST,57.576025,104.5,10.0,33.4526125877991,,,136.8,135.0,,151.8,,,,,
Dallas Cowboys,DST,65.61167999999998,104.1,27.0,27.37857367682984,,,245.7,263.0,,204.7,,,,,
Denver Broncos,DST,56.63472000000001,101.7,12.0,31.323702367721477,,,163.2,157.0,,169.0,,,,,
Atlanta Falcons,DST,52.17893999999999,98.1,6.0,32.56201198446435,,,314.0,374.0,,311.6,,,,,
Chicago Bears,DST,50.9953,98.0,4.0,33.32362942282848,,,226.4,233.0,,219.4,,,,,
Minnesota Vikings,DST,51.724,98.0,6.0,32.211957779681754,,,232.4,244.0,,247.6,,,,,
Tennessee Titans,DST,53.39246499999999,97.3,10.0,30.82398427318855,,,230.4,241.0,,263.8,,,,,
Jake Elliott,K,53.667459999999984,97.3,10.0,30.760085316013022,,,286.0,343.0,,257.1,,,,,
Greg Joseph,K,52.745825,94.5,11.0,29.689504691378314,,,430.0,466.0,,317.0,,,,,
Las Vegas Raiders,DST,53.438165000000005,92.9,14.0,27.998382617265147,,,243.0,257.0,,310.8,,,,,
Jacksonville Jaguars,DST,46.967749999999995,91.6,3.0,31.60064510318579,,,291.0,352.0,,308.4,,,,,
Houston Texans,DST,51.485719999999986,89.3,13.0,26.86048710618629,,,326.0,385.0,,310.5,,,,,
Detroit Lions,DST,49.343840000000014,87.2,11.0,26.837090454339496,,,321.0,381.0,,316.5,,,,,
Cincinnati Bengals,DST,45.554055,86.1,5.0,28.90449936959599,,,290.0,349.0,,304.0,,,,,
Joey Slye,K,36.77911999999999,71.6,2.0,24.71534219924134,,,300.0,362.0,,,,,,,
Nick Folk,K,1.5021,3.0,0.0,1.0634122389741432,,,295.0,356.0,,305.8,,,,,
Randy Bullock,K,4.0396,8.0,0.0,2.823337004326618,,,326.5,386.0,,315.5,,,,,
Brett Maher,K,1.4922,3.0,0.0,1.062115417457067,,,,,,,,,,,
Cam Akers,,,,,,,,,,,12.0,,,,,
JK Dobbins,,,,,,,,,,,57.0,3,69%,2.10,6.7%,5
Travis Etienne,,,,,,,,,,,92.1,3,60%,1.40,5.2%,5
Deshaun Watson,,,,,,,,,,,98.6,6,14%,0.60,0.9%,3
JuJu Smith-Schuster,,,,,,,,,,,112.3,12,91%,3.50,13.2%,5
Gerald Everett,,,,,,,,,,,157.1,4,34%,0.80,2.4%,5
Joshua Palmer,,,,,,,,,,,199.1,,,,,
Tre'Quan Smith,,,,,,,,,,,210.2,8,75%,1.80,7.8%,4
Los Angeles Chargers,,,,,,,,,,,214.9,,,,,
Rodrigo Blankenship,,,,,,,,,,,224.4,,,,,
Jameson Williams,,,,,,,,,,,221.9,,,,,
Eric Ebron,,,,,,,,,,,238.3,10,83%,1.70,9.9%,5
Tyrell Williams,,,,,,,,,,,226.9,7,93%,3.30,14.5%,4
Kenneth Walker,,,,,,,,,,,243.4,,,,,
Treylon Burks,,,,,,,,,,,240.7,,,,,
Los Angeles Rams,,,,,,,,,,,240.7,,,,,
Breece Hall,,,,,,,,,,,252.1,,,,,
Antonio Brown,,,,,,,,,,,225.1,6,85%,2.40,10.6%,5
Isaiah Spiller,,,,,,,,,,,264.6,,,,,
Garrett Wilson,,,,,,,,,,,264.5,,,,,
Chris Olave,,,,,,,,,,,271.5,,,,,
Wil Lutz,,,,,,,,,,,283.6,,,,,
Irv Smith,,,,,,,,,,,262.1,3,31%,0.90,2.2%,5
New York Giants,,,,,,,,,,,289.8,,,,,
Harrison Butker,,,,,,,,,,,258.1,,,,,
Ka'imi Fairbairn,,,,,,,,,,,295.3,,,,,
Le'Veon Bell,,,,,,,,,,,299.1,7,93%,3.20,14.5%,5
Chase McLaughlin,,,,,,,,,,,305.1,,,,,
New York Jets,,,,,,,,,,,307.4,,,,,
Josh Lambo,,,,,,,,,,,296.6,,,,,
Tristan Vizcaino,,,,,,,,,,,302.8,,,,,
Austin Seibert,,,,,,,,,,,308.4,,,,,
Quinn Nordin,,,,,,,,,,,305.9,,,,,
Trey McBride,,,,,,,,,,,302.8,,,,,
Jeremy McNichols,,,,,,,,,,,316.2,,,,,
Duke Johnson,,,,,,,,,,,327.4,5,10%,0.20,0.6%,5
Malik Willis,,,,,,,,,,,323.5,,,,,
Sam Howell,,,,,,,,,,,330.0,,,,,
Jalen Wydermyer,,,,,,,,,,,330.8,,,,,
Matt Corral,,,,,,,,,,,336.0,,,,,
Kenny Pickett,,,,,,,,,,,337.8,,,,,
Charlie Kolar,,,,,,,,,,,340.0,,,,,
Kyle Trask,,,,,,,,,,,340.5,,,,,
Cam Newton,,,,,,,,,,,,11,92%,3.40,13.8%,5
Ben Roethlisberger,,,,,,,,,,,,22,80%,3.50,9%,5
Tom Brady,,,,,,,,,,,,7,5%,0.50,0.3%,5
Bryce Love,,,,,,,,,,,,2,55%,1.80,4.6%,0
Kerryon Johnson,,,,,,,,,,,,6,51%,0.90,4.1%,2
Todd Gurley,,,,,,,,,,,,5,46%,0.60,3.6%,5
LeSean McCoy,,,,,,,,,,,,19,39%,0.50,2.9%,5
Lamar Miller,,,,,,,,,,,,6,34%,1.30,2.4%,5
Adrian Peterson,,,,,,,,,,,,18,29%,0.50,2%,5
DeAndre Washington,,,,,,,,,,,,2,17%,0.30,1.1%,5
Justice Hill,,,,,,,,,,,,4,15%,0.20,1%,5
Frank Gore,,,,,,,,,,,,12,11%,0.30,0.7%,5
Kalen Ballage,,,,,,,,,,,,3,10%,0.20,0.6%,5
Jalen Richard,,,,,,,,,,,,0,6%,0.30,0.4%,5
Darwin Thompson,,,,,,,,,,,,0,5%,0.30,0.3%,5
Henry Ruggs,,,,,,,,,,,,7,95%,3.80,16.2%,2
Danny Amendola,,,,,,,,,,,,18,95%,2.70,16.2%,4
Kenny Stills,,,,,,,,,,,,9,93%,3.20,14.5%,5
Travis Benjamin,,,,,,,,,,,,12,93%,3.40,14.5%,3
Josh Doctson,,,,,,,,,,,,8,87%,4.70,11.3%,1
Devin Funchess,,,,,,,,,,,,7,79%,2.90,8.8%,3
Marqise Lee,,,,,,,,,,,,12,75%,2.20,7.8%,1
Allen Hurns,,,,,,,,,,,,13,67%,1.90,6.3%,5
Willie Snead,,,,,,,,,,,,6,66%,1.40,6.1%,5
John Brown,,,,,,,,,,,,7,65%,1.40,6%,5
Golden Tate,,,,,,,,,,,,5,44%,0.90,3.4%,5
Alshon Jeffery,,,,,,,,,,,,16,44%,1.80,3.4%,3
Riley Ridley,,,,,,,,,,,,1,9%,0.20,0.6%,5
Lynn Bowden,,,,,,,,,,,,1,5%,0.20,0.3%,5
KeeSean Johnson,,,,,,,,,,,,0,5%,0.30,0.3%,5
Antonio Gandy-Golden,,,,,,,,,,,,1,5%,0.20,0.3%,5
Trey Burton,,,,,,,,,,,,6,94%,3.50,15.3%,5
Vance McDonald,,,,,,,,,,,,15,90%,3.30,12.7%,3
Tyler Eifert,,,,,,,,,,,,13,90%,4.20,12.7%,1
Dalton Keene,,,,,,,,,,,,4,58%,1.70,5%,5
Kelvin Benjamin,,,,,,,,,,,,5,41%,1.10,3.1%,3
Jesse James,,,,,,,,,,,,1,6%,0.30,0.4%,5
